,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
GA,9256,7792,5892,63.66%,4765,4491,0,1147,3828,5410,18,4765,3835,2698,56.62%,250,348,433,1604,3143,18,4491,3957,3194,71.12%,714,2224,2267,0,0,0,0,.,0,0,0,0,521,456,447,85.80%,143,440,76,5,521,456,447,85.80%,143,440,76,5,0,0,0,.,0,0,0,0,6923,6890,4987,72.04%,1206,2818,4105,0,0,0,0,.,0,0,0,0
GU,186,123,160,86.02%,102,84,0,24,96,53,37,102,49,78,76.47%,0,7,14,52,21,29,84,74,82,97.62%,10,44,32,8,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,102,102,60,58.82%,9,28,74,0,0,0,0,.,0,0,0,0
HI,4336,4145,4096,94.46%,1492,2819,25,769,2966,1354,16,1492,1331,1282,85.92%,0,64,199,720,756,16,2819,2789,2789,98.94%,570,2246,573,0,25,25,25,100.00%,0,0,25,0,78,78,78,100.00%,8,24,54,0,78,78,78,100.00%,8,24,54,0,0,0,0,.,0,0,0,0,1220,1220,1059,86.80%,55,198,1022,0,0,0,0,.,0,0,0,0
IA,3643,2980,2358,64.73%,1681,1962,0,668,2065,1574,4,1681,1257,775,46.10%,15,100,251,687,994,0,1962,1723,1583,80.68%,417,1378,580,4,0,0,0,.,0,0,0,0,264,30,30,11.36%,73,218,46,0,264,30,30,11.36%,73,218,46,0,0,0,0,.,0,0,0,0,1098,1098,759,69.13%,160,551,547,0,171,171,171,100.00%,25,105,66,0
ID,1768,1497,897,50.74%,859,909,0,286,872,882,14,859,632,335,39.00%,0,53,135,363,482,14,909,865,562,61.83%,151,509,400,0,0,0,0,.,0,0,0,0,219,219,219,100.00%,66,190,29,0,219,219,219,100.00%,66,190,29,0,0,0,0,.,0,0,0,0,835,826,631,75.57%,130,423,412,0,0,0,0,.,0,0,0,0
IL,12676,11309,9369,73.91%,5174,7407,95,2089,6825,5757,94,5174,4277,2818,54.46%,627,418,458,1690,3423,61,7407,6937,6456,87.16%,1631,5135,2239,33,95,95,95,100.00%,0,0,95,0,625,618,617,98.72%,181,514,111,0,625,618,617,98.72%,181,514,111,0,0,0,0,.,0,0,0,0,12317,12240,9786,79.45%,1636,4561,7726,30,72,72,50,69.44%,13,46,26,0
IN,6842,5401,3265,47.72%,3796,3021,25,1040,3516,3233,93,3796,2849,1539,40.54%,513,372,521,1868,1852,76,3021,2527,1701,56.31%,519,1648,1356,17,25,25,25,100.00%,0,0,25,0,976,969,957,98.05%,204,689,287,0,976,969,957,98.05%,204,689,287,0,0,0,0,.,0,0,0,0,2947,2933,2114,71.73%,358,997,1950,0,46,46,0,0.00%,0,0,46,0
KS,3188,2510,1812,56.84%,1852,1316,20,460,1557,1619,12,1852,1345,915,49.41%,120,61,230,775,1077,0,1316,1145,877,66.64%,230,782,522,12,20,20,20,100.00%,0,0,20,0,232,232,232,100.00%,50,156,76,0,232,232,232,100.00%,50,156,76,0,0,0,0,.,0,0,0,0,1408,1408,1044,74.15%,193,670,738,0,0,0,0,.,0,0,0,0
KY,4262,3715,2642,61.99%,2198,2053,11,680,1583,2635,44,2198,1822,1138,51.77%,174,237,277,674,1480,44,2053,1882,1493,72.72%,403,909,1144,0,11,11,11,100.00%,0,0,11,0,179,157,157,87.71%,47,125,54,0,179,157,157,87.71%,47,125,54,0,0,0,0,.,0,0,0,0,3077,2872,2292,74.49%,521,1236,1841,0,0,0,0,.,0,0,0,0
LA,4574,4032,3172,69.35%,1976,2565,33,535,1777,2723,74,1976,1593,1270,64.27%,79,213,194,669,1265,42,2565,2406,1869,72.87%,341,1108,1425,32,33,33,33,100.00%,0,0,33,0,502,496,460,91.63%,109,350,152,0,375,369,333,88.80%,68,223,152,0,127,127,127,100.00%,41,127,0,0,4596,4532,3321,72.26%,828,1599,2997,0,25,25,25,100.00%,2,4,21,0
MA,15471,14388,12698,82.08%,11287,4114,70,3286,9977,5482,12,11287,10797,9796,86.79%,326,6124,2629,8297,2986,4,4114,3521,2842,69.08%,657,1680,2426,8,70,70,60,85.71%,0,0,70,0,2370,2370,1304,55.02%,688,2146,224,0,2279,2279,1213,53.23%,663,2055,224,0,91,91,91,100.00%,25,91,0,0,11948,11867,8355,69.93%,1350,3633,8315,0,146,146,111,76.03%,25,70,76,0
MD,5950,5439,4434,74.52%,2818,3027,105,793,2816,3110,24,2818,2454,2137,75.83%,895,688,304,1349,1445,24,3027,2880,2192,72.41%,489,1467,1560,0,105,105,105,100.00%,0,0,105,0,247,233,189,76.52%,88,193,54,0,227,213,169,74.45%,81,173,54,0,20,20,20,100.00%,7,20,0,0,7145,7145,5702,79.80%,1317,3757,3388,0,215,215,215,100.00%,72,172,43,0
ME,2730,2355,2194,80.37%,1184,1531,15,493,1533,1157,40,1184,1011,896,75.68%,17,111,169,544,608,32,1531,1329,1283,83.80%,324,989,534,8,15,15,15,100.00%,0,0,15,0,60,60,60,100.00%,15,45,15,0,60,60,60,100.00%,15,45,15,0,0,0,0,.,0,0,0,0,2464,2432,2314,93.91%,367,1082,1382,0,0,0,0,.,0,0,0,0
MI,10643,8811,7860,73.85%,5348,5239,56,1722,5306,5170,167,5348,4214,3828,71.58%,752,533,703,2406,2804,138,5239,4541,3989,76.14%,1019,2900,2310,29,56,56,43,76.79%,0,0,56,0,586,549,514,87.71%,122,361,225,0,574,537,502,87.46%,120,353,221,0,12,12,12,100.00%,2,8,4,0,8644,8551,7253,83.91%,1258,3828,4816,0,122,122,59,48.36%,9,27,95,0
MN,7336,6423,5353,72.97%,4041,3295,0,1420,4508,2749,79,4041,3318,2936,72.66%,196,549,558,2190,1813,38,3295,3105,2417,73.35%,862,2318,936,41,0,0,0,.,0,0,0,0,1707,1707,1707,100.00%,476,1558,140,9,1707,1707,1707,100.00%,476,1558,140,9,0,0,0,.,0,0,0,0,10921,10865,7912,72.45%,1710,5196,5660,65,0,0,0,.,0,0,0,0
MO,7284,5319,3005,41.25%,3882,3348,54,1830,3701,3427,156,3882,2348,1432,36.89%,219,342,796,1792,1999,91,3348,2917,1537,45.91%,1034,1909,1374,65,54,54,36,66.67%,0,0,54,0,623,593,601,96.47%,138,399,224,0,623,593,601,96.47%,138,399,224,0,0,0,0,.,0,0,0,0,5659,5642,3307,58.44%,2441,3785,1874,0,90,90,90,100.00%,0,0,90,0
MS,1607,1223,962,59.86%,763,844,0,208,766,724,117,763,448,386,50.59%,211,69,104,377,347,39,844,775,576,68.25%,104,389,377,78,0,0,0,.,0,0,0,0,62,62,62,100.00%,5,12,50,0,62,62,62,100.00%,5,12,50,0,0,0,0,.,0,0,0,0,530,520,250,47.17%,32,104,426,0,0,0,0,.,0,0,0,0
MT,1337,1059,452,33.81%,746,591,0,259,686,651,0,746,567,143,19.17%,24,116,110,351,395,0,591,492,309,52.28%,149,335,256,0,0,0,0,.,0,0,0,0,102,102,102,100.00%,21,61,41,0,102,102,102,100.00%,21,61,41,0,0,0,0,.,0,0,0,0,564,564,329,58.33%,141,243,321,0,0,0,0,.,0,0,0,0
NC,9724,8303,6305,64.84%,6008,3716,0,1173,3775,5887,62,6008,4738,3749,62.40%,736,345,625,2184,3767,57,3716,3565,2556,68.78%,548,1591,2120,5,0,0,0,.,0,0,0,0,1667,1637,1624,97.42%,451,1374,293,0,1667,1637,1624,97.42%,451,1374,293,0,0,0,0,.,0,0,0,0,5597,5582,4592,82.04%,824,2397,3198,2,30,30,0,0.00%,4,13,17,0
ND,936,740,619,66.13%,736,200,0,142,444,492,0,736,574,507,68.89%,0,50,110,324,412,0,200,166,112,56.00%,32,120,80,0,0,0,0,.,0,0,0,0,43,43,43,100.00%,3,10,33,0,43,43,43,100.00%,3,10,33,0,0,0,0,.,0,0,0,0,650,650,482,74.15%,79,204,446,0,0,0,0,.,0,0,0,0
NE,3446,3098,2382,69.12%,1735,1711,0,442,1599,1757,90,1735,1479,1026,59.14%,0,313,150,734,944,57,1711,1619,1356,79.25%,292,865,813,33,0,0,0,.,0,0,0,0,123,123,123,100.00%,29,71,52,0,123,123,123,100.00%,29,71,52,0,0,0,0,.,0,0,0,0,1033,1033,635,61.47%,137,425,608,0,125,65,11,8.80%,54,115,10,0
NH,1398,1259,1142,81.69%,739,650,9,272,769,617,12,739,600,523,70.77%,114,29,110,328,399,12,650,650,610,93.85%,162,441,209,0,9,9,9,100.00%,0,0,9,0,184,184,184,100.00%,35,88,96,0,184,184,184,100.00%,35,88,96,0,0,0,0,.,0,0,0,0,1083,1083,784,72.39%,182,564,519,0,0,0,0,.,0,0,0,0
NJ,7561,6670,6292,83.22%,4543,2998,20,1284,3806,3627,128,4543,4023,3747,82.48%,125,4871,728,2130,2356,57,2998,2627,2525,84.22%,556,1676,1251,71,20,20,20,100.00%,0,0,20,0,1274,1274,1269,99.61%,369,1036,238,0,1257,1257,1252,99.60%,365,1019,238,0,17,17,17,100.00%,4,17,0,0,5724,5671,4288,74.91%,696,1845,3879,0,12,12,12,100.00%,4,12,0,0
NM,2325,1585,888,38.19%,1375,950,0,339,1228,936,161,1375,905,369,26.84%,490,113,127,590,662,123,950,680,519,54.63%,212,638,274,38,0,0,0,.,0,0,0,0,159,159,151,94.97%,41,118,41,0,159,159,151,94.97%,41,118,41,0,0,0,0,.,0,0,0,0,1771,1771,1015,57.31%,250,635,1136,0,0,0,0,.,0,0,0,0
NV,5175,4956,4439,85.78%,3523,1627,25,563,1522,3608,45,3523,3359,3135,88.99%,336,296,413,1148,2347,28,1627,1572,1279,78.61%,150,374,1236,17,25,25,25,100.00%,0,0,25,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,2842,2842,2515,88.49%,314,767,2058,17,0,0,0,.,0,0,0,0
NY,78506,74262,65668,83.65%,68152,10151,203,14619,49898,28383,225,68152,65049,57506,84.38%,261,1810,13253,45990,21996,166,10151,9019,7968,78.49%,1366,3908,6184,59,203,194,194,95.57%,0,0,203,0,966,966,593,61.39%,257,818,148,0,966,966,593,61.39%,257,818,148,0,0,0,0,.,0,0,0,0,34698,34341,21886,63.08%,3942,10743,23955,0,497,497,118,23.74%,95,241,256,0
OH,10759,9544,7755,72.08%,6660,4026,73,1436,4304,6359,96,6660,5765,4394,65.98%,576,731,824,2510,4061,89,4026,3706,3288,81.67%,612,1794,2225,7,73,73,73,100.00%,0,0,73,0,3366,3334,3239,96.23%,850,2808,558,0,2770,2738,2643,95.42%,689,2212,558,0,596,596,596,100.00%,161,596,0,0,14211,14172,12432,87.48%,1960,5496,8715,0,0,0,0,.,0,0,0,0
OK,3880,3105,2383,61.42%,2962,868,50,415,1424,2397,59,2962,2296,1810,61.11%,30,226,287,1003,1900,59,868,759,523,60.25%,128,421,447,0,50,50,50,100.00%,0,0,50,0,32,32,25,78.13%,8,23,9,0,32,32,25,78.13%,8,23,9,0,0,0,0,.,0,0,0,0,1392,1370,991,71.19%,149,417,975,0,10,10,0,0.00%,1,3,7,0
OR,6924,6438,3829,55.30%,2952,3962,10,1182,3158,3595,171,2952,2586,780,26.42%,415,504,424,1025,1824,103,3962,3842,3039,76.70%,758,2133,1761,68,10,10,10,100.00%,0,0,10,0,931,744,744,79.91%,264,761,170,0,825,638,638,77.33%,227,655,170,0,106,106,106,100.00%,37,106,0,0,5835,5750,4064,69.65%,784,2309,3524,2,0,0,0,.,0,0,0,0
PA,15922,14055,12055,75.71%,8053,7587,282,2736,8572,7295,55,8053,6938,5577,69.25%,1172,228,1049,3672,4335,46,7587,6835,6241,82.26%,1687,4900,2678,9,282,282,237,84.04%,0,0,282,0,1544,1509,1480,95.85%,347,1091,453,0,1472,1437,1408,95.65%,320,1025,447,0,72,72,72,100.00%,27,66,6,0,11862,11789,9550,80.51%,1863,5718,6144,0,2003,2003,1055,52.67%,418,1371,632,0
PR,1962,1543,1538,78.39%,589,1286,87,145,576,1386,0,589,424,424,71.99%,0,0,18,141,448,0,1286,1032,1027,79.86%,127,435,851,0,87,87,87,100.00%,0,0,87,0,43,43,26,60.47%,8,29,14,0,43,43,26,60.47%,8,29,14,0,0,0,0,.,0,0,0,0,1988,1950,1755,88.28%,244,726,1262,0,0,0,0,.,0,0,0,0
RI,1225,1091,955,77.96%,759,449,17,201,561,664,0,759,671,551,72.60%,46,76,92,272,487,0,449,403,387,86.19%,109,289,160,0,17,17,17,100.00%,0,0,17,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,1493,1493,1317,88.21%,246,689,804,0,176,176,176,100.00%,22,60,116,0
SC,3473,3080,2224,64.04%,1653,1808,12,370,1433,2029,11,1653,1293,808,48.88%,463,138,101,635,1014,4,1808,1775,1404,77.65%,269,798,1003,7,12,12,12,100.00%,0,0,12,0,353,353,136,38.53%,44,119,234,0,353,353,136,38.53%,44,119,234,0,0,0,0,.,0,0,0,0,1748,1675,1456,83.30%,340,807,941,0,189,189,104,55.03%,25,75,114,0
SD,1747,1316,587,33.60%,1154,593,0,283,775,852,120,1154,735,244,21.14%,70,79,224,595,503,56,593,581,343,57.84%,59,180,349,64,0,0,0,.,0,0,0,0,60,9,9,15.00%,24,50,10,0,60,9,9,15.00%,24,50,10,0,0,0,0,.,0,0,0,0,526,526,477,90.68%,88,228,298,0,71,71,0,0.00%,46,71,0,0
TN,6791,6042,3764,55.43%,3628,3139,24,690,2214,4534,43,3628,3125,1540,42.45%,722,569,312,1117,2468,43,3139,2893,2200,70.09%,378,1097,2042,0,24,24,24,100.00%,0,0,24,0,320,275,272,85.00%,149,205,115,0,320,275,272,85.00%,149,205,115,0,0,0,0,.,0,0,0,0,4563,4506,3117,68.31%,806,1945,2618,0,97,97,97,100.00%,31,95,2,0
TX,22443,17660,12237,54.52%,12942,9348,153,3086,10656,11472,315,12942,10141,6256,48.34%,365,899,1362,4921,7778,243,9348,7366,5851,62.59%,1724,5735,3541,72,153,153,130,84.97%,0,0,153,0,1404,1130,1130,80.48%,363,1070,334,0,1371,1097,1097,80.01%,351,1037,334,0,33,33,33,100.00%,12,33,0,0,12209,11756,8866,72.62%,2886,5990,6219,0,1440,1440,1222,84.86%,221,771,669,0
UT,2740,1988,1802,65.77%,1535,1156,49,379,1265,1473,2,1535,1117,967,63.00%,730,0,156,528,1007,0,1156,822,786,67.99%,223,737,417,2,49,49,49,100.00%,0,0,49,0,657,657,214,32.57%,148,576,81,0,657,657,214,32.57%,148,576,81,0,0,0,0,.,0,0,0,0,2264,2264,2061,91.03%,324,1059,1205,0,6,0,0,0,2,6,0,0
VA,6274,5031,4014,63.98%,3816,2394,64,1048,3586,2673,15,3816,2937,2181,57.15%,1113,517,550,1916,1885,15,2394,2030,1769,73.89%,498,1670,724,0,64,64,64,100.00%,0,0,64,0,2062,1830,1764,85.55%,531,1754,308,0,2062,1830,1764,85.55%,531,1754,308,0,0,0,0,.,0,0,0,0,3582,3582,2202,61.47%,336,1032,2550,0,138,138,88,63.77%,3,8,130,0
VI,127,93,70,55.12%,84,43,0,19,44,83,0,84,59,44,52.38%,0,0,13,35,49,0,43,34,26,60.47%,6,9,34,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,22,22,12,54.55%,0,0,22,0,0,0,0,.,0,0,0,0
VT,1040,884,286,27.50%,653,381,6,161,478,562,0,653,556,150,22.97%,37,395,99,283,370,0,381,322,130,34.12%,62,195,186,0,6,6,6,100.00%,0,0,6,0,138,138,0,0.00%,41,130,8,0,138,138,0,0.00%,41,130,8,0,0,0,0,.,0,0,0,0,598,598,310,51.84%,55,161,437,0,0,0,0,.,0,0,0,0
WA,14886,13265,10157,68.23%,7209,7632,45,2540,8588,6089,209,7209,6263,4519,62.69%,824,300,880,2960,4121,128,7632,6957,5593,73.28%,1660,5628,1923,81,45,45,45,100.00%,0,0,45,0,3207,3112,2951,92.02%,584,1748,1457,2,3178,3112,2951,92.86%,576,1721,1455,2,29,0,0,0.00%,8,27,2,0,9046,9012,6931,76.62%,730,2150,6896,0,491,466,312,63.54%,142,396,85,10
WI,6504,5218,4635,71.26%,3436,3004,64,1246,3859,2593,52,3436,2539,2192,63.80%,411,281,549,1827,1557,52,3004,2615,2379,79.19%,697,2032,972,0,64,64,64,100.00%,0,0,64,0,418,407,407,97.37%,100,346,72,0,405,394,394,97.28%,96,333,72,0,13,13,13,100.00%,4,13,0,0,2675,2666,2133,79.74%,262,795,1880,0,0,0,0,.,0,0,0,0
WV,1965,1644,1293,65.80%,1363,589,13,243,822,1133,10,1363,1171,893,65.52%,40,139,143,505,853,5,589,460,387,65.70%,100,317,267,5,13,13,13,100.00%,0,0,13,0,73,73,73,100.00%,12,42,29,2,73,73,73,100.00%,12,42,29,2,0,0,0,.,0,0,0,0,1219,1219,804,65.96%,209,507,712,0,108,108,108,100.00%,0,0,108,0
WY,815,613,338,41.47%,445,370,0,134,375,426,14,445,298,123,27.64%,32,16,67,175,256,14,370,315,215,58.11%,67,200,170,0,0,0,0,.,0,0,0,0,67,67,7,10.45%,15,52,15,0,67,67,7,10.45%,15,52,15,0,0,0,0,.,0,0,0,0,236,236,69,29.24%,86,127,54,55,0,0,0,.,0,0,0,0
Total,424880,373223,301763,71.02%,249497,173224,2159,66959,217401,202938,4541,249497,215115,171714,68.82%,22399,28331,36152,123252,123173,3072,173224,155958,128008,73.90%,30807,94149,77606,1469,2159,2150,2041,94.53%,0,0,2159,0,37783,36201,32577,86.22%,9657,29506,8253,24,36176,34623,31045,85.82%,9181,27911,8241,24,1607,1578,1532,95.33%,476,1595,12,0,300282,297504,218076,72.62%,42210,113487,186623,172,9843,9746,5947,60.42%,2031,6186,3647,10

,"Total Beds (ES,TH,SH)",,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,Transitional Housing (TH),,,,,,,,,Rapid ReHousing (RRH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,RRH,SH)","Total Non-DV Year-Round Beds (ES,TH,RRH,SH)","Total HMIS Year-Round Beds (ES,TH,RRH,SH)","HMIS Participation Rate (ES,TH,RRH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Rapid Rehousing (RRH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH,RRH)","Total Beds for Households with Children (ES,TH,RRH)","Total Beds for Households without Children (ES,TH,RRH,SH)","Total Beds for Households with only Children (ES,TH,RRH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total RRH Beds,Total Year-Round RRH Beds,Total Non-DV Year-Round RRH Beds,Total HMIS Year-Round RRH Beds,RRH HMIS Participation Rate,Total RRH Units for Households with Children,Total RRH Beds for Households with Children,Total RRH Beds for Households without Children,Total RRH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AK,1895,1460,1171,80.20%,1204,691,0,0,215,663,1216,16,1204,861,699,81.20%,37,164,142,426,766,12,,691,691,599,472,78.80%,73,237,450,4,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,792,792,792,764,96.50%,120,65,223,569,0
AL,4077,3553,1974,55.60%,1943,2095,5,34,526,1629,2358,90,1943,1639,978,59.70%,66,136,221,658,1195,90,,2095,2095,1875,957,51.00%,305,971,1124,0,5,5,5,5,100.00%,0,0,5,0,34,34,34,34,100.00%,34,0,2400,2400,2400,1548,64.50%,679,281,851,1549,0
AR,2561,1963,1156,58.90%,1655,847,59,0,281,863,1638,60,1655,1193,633,53.10%,0,319,173,581,1014,60,,847,847,711,464,65.30%,102,263,584,0,59,59,59,59,100.00%,6,19,40,0,0,0,0,0,0.00%,0,0,1006,1006,1000,667,66.70%,74,128,324,682,0
AZ,8982,7425,6574,88.50%,4173,4570,199,40,1503,5014,3948,20,4173,2971,2628,88.50%,204,314,563,1967,2200,6,,4570,4570,4232,3724,88.00%,871,2864,1692,14,199,199,182,182,100.00%,69,183,16,0,40,40,40,40,100.00%,40,0,6785,6785,6785,4930,72.70%,969,780,2191,4594,0
CA,45411,40146,31307,78.00%,16680,27977,547,207,6252,21281,23711,419,16680,14238,10940,76.80%,5614,3071,1650,6340,9995,345,,27977,27977,25186,19680,78.10%,4479,14532,13371,74,547,547,515,480,93.20%,123,409,138,0,207,207,207,207,100.00%,207,0,41633,41633,41485,27409,66.10%,12347,5064,14229,27404,0
CO,7744,7028,6022,85.70%,3153,4358,208,25,1419,4193,3239,312,3153,2595,2050,79.00%,690,566,471,1431,1669,53,,4358,4358,4200,3757,89.50%,928,2708,1391,259,208,208,208,190,91.30%,20,54,154,0,25,25,25,25,100.00%,25,0,2996,2996,2996,2355,78.60%,1061,265,626,2370,0
CT,3634,3322,3068,92.40%,2158,1284,192,0,550,1643,1977,14,2158,1920,1814,94.50%,351,139,278,899,1245,14,,1284,1284,1210,1062,87.80%,197,569,715,0,192,192,192,192,100.00%,75,175,17,0,0,0,0,0,0.00%,0,0,5817,5817,5745,4824,84.00%,2046,835,2464,3353,0
DC,7854,7754,7183,92.60%,3856,2812,1186,0,1469,4611,3228,15,3856,3763,3620,96.20%,549,0,476,1587,2258,11,,2812,2812,2805,2377,84.70%,617,1838,970,4,1186,1186,1186,1186,100.00%,376,1186,0,0,0,0,0,0,0.00%,0,0,6224,6224,6180,3724,60.30%,4641,833,2674,3550,0
DE,1263,1165,697,59.80%,552,698,3,10,205,639,624,0,552,454,313,68.90%,72,52,69,237,315,0,,698,698,698,371,53.20%,135,400,298,0,3,3,3,3,100.00%,1,2,1,0,10,10,10,10,100.00%,10,0,552,552,552,492,89.10%,207,15,43,509,0
FL,24292,21495,16032,74.60%,9923,13337,854,178,3092,10222,13692,378,9923,8026,6199,77.20%,754,1165,1005,3548,6148,227,,13337,13337,12437,9318,74.90%,1875,6032,7154,151,854,854,854,378,44.30%,212,642,212,0,178,178,178,137,77.00%,178,0,14592,14592,14204,8459,59.60%,3811,2219,6166,8426,0
GA,9371,7897,6379,80.80%,4336,4487,548,0,1216,4197,5156,18,4336,3487,2696,77.30%,239,1169,461,1666,2652,18,,4487,4487,3869,3145,81.30%,631,2118,2369,0,548,548,541,538,99.40%,124,413,135,0,0,0,0,0,0.00%,0,0,7053,7053,7023,4660,66.40%,2593,1220,2832,4221,0
GU,193,140,128,91.40%,109,84,0,0,44,124,57,12,109,66,54,81.80%,0,7,24,70,27,12,,84,84,74,74,100.00%,20,54,30,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,144,144,144,71,49.30%,70,21,79,65,0
HI,4112,3905,3856,98.70%,1508,2579,0,25,746,2775,1321,16,1508,1334,1285,96.30%,0,64,209,759,733,16,,2579,2579,2546,2546,100.00%,537,2016,563,0,0,0,0,0,0.00%,0,0,0,0,25,25,25,25,100.00%,25,0,1382,1382,1382,1208,87.40%,563,67,274,1108,0
IA,3828,3125,2497,79.90%,1623,2141,64,0,649,2151,1668,9,1623,1165,800,68.70%,39,45,202,663,960,0,,2141,2141,1913,1650,86.30%,434,1457,675,9,64,64,47,47,100.00%,13,31,33,0,0,0,0,0,0.00%,0,0,1129,1129,1129,774,68.60%,231,168,524,605,0
ID,1996,1628,1095,67.30%,922,840,234,0,352,1085,887,24,922,620,302,48.70%,0,45,154,403,495,24,,840,840,774,572,73.90%,138,483,357,0,234,234,234,221,94.40%,60,199,35,0,0,0,0,0,0.00%,0,0,778,778,769,609,79.20%,303,124,399,379,0
IL,12787,11412,9187,80.50%,5431,7223,38,95,1959,6499,6213,75,5431,4574,3227,70.60%,722,1207,430,1705,3657,69,,7223,7223,6713,5835,86.90%,1521,4770,2447,6,38,38,30,30,100.00%,8,24,14,0,95,95,95,95,100.00%,95,0,11554,11554,11554,9312,80.60%,3851,1487,3955,7571,28
