State,Number of CoCs,"Overall Homeless, 2012","Sheltered ES Homeless, 2012","Sheltered TH Homeless, 2012","Sheltered SH Homeless, 2012","Sheltered Total Homeless, 2012","Unsheltered Homeless, 2012","Overall Homeless Individuals, 2012","Overall Homeless Individuals - Under 18, 2012","Sheltered ES Homeless Individuals, 2012","Sheltered ES Homeless Individuals - Under 18, 2012","Sheltered TH Homeless Individuals, 2012","Sheltered TH Homeless Individuals - Under 18, 2012","Sheltered SH Homeless Individuals, 2012","Sheltered Total Homeless Individuals, 2012","Sheltered Total Homeless Individuals - Under 18, 2012","Unsheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals - Under 18, 2012","Overall Homeless People in Families, 2012","Sheltered ES Homeless People in Families, 2012","Sheltered TH Homeless People in Families, 2012","Sheltered Total Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Overall Homeless Family Households, 2012","Sheltered ES Homeless Family Households, 2012","Sheltered TH Homeless Family Households, 2012","Sheltered Total Homeless Family Households, 2012","Unsheltered Homeless Family Households, 2012","Overall Chronically Homeless, 2012","Sheltered ES Chronically Homeless, 2012","Sheltered SH Chronically Homeless, 2012","Sheltered Total Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Overall Chronically Homeless Individuals, 2012","Sheltered ES Chronically Homeless Individuals, 2012","Sheltered SH Chronically Homeless Individuals, 2012","Sheltered Total Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Overall Chronically Homeless People in Families, 2012","Sheltered ES Chronically Homeless People in Families, 2012","Sheltered Total Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Overall Homeless Veterans, 2012","Sheltered Total Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
FL,28,55170,9388,10289,155,19832,35338,36771,1013,6435,237,6211,226,155,12801,463,23970,550,18399,2953,4078,7031,11368,6333,977,1361,2338,3995,10054,2277,129,2406,7648,8682,2003,129,2132,6550,1372,274,274,1098,5331,2201,3130
GA,7,20516,4291,4007,22,8320,12196,15363,119,2978,12,1816,15,22,4816,27,10547,92,5153,1313,2191,3504,1649,1779,498,757,1255,524,3843,1420,6,1426,2417,3016,1024,6,1030,1986,827,396,396,431,2297,1094,1203
GU,1,1301,66,121,0,187,1114,255,6,26,5,39,1,0,65,6,190,0,1046,40,82,122,924,165,10,19,29,136,226,0,0,0,226,22,0,0,0,22,204,0,0,204,31,6,25
HI,2,6246,1141,2560,25,3726,2520,3130,9,513,2,537,0,25,1075,2,2055,7,3116,628,2023,2651,465,792,183,498,681,111,949,129,17,146,803,910,111,17,128,782,39,18,18,21,507,230,277
IA,3,2928,1164,1616,0,2780,148,1446,11,756,0,546,11,0,1302,11,144,0,1482,408,1070,1478,4,466,132,333,465,1,307,218,0,218,89,270,181,0,181,89,37,37,37,0,217,205,12
ID,2,1968,770,712,0,1482,486,1175,13,517,7,270,0,0,787,7,388,6,793,253,442,695,98,246,74,142,216,30,252,111,0,111,141,200,90,0,90,110,52,21,21,31,260,184,76
IL,20,14144,4828,6229,92,11149,2995,8269,168,3617,26,2099,8,92,5808,34,2461,134,5875,1211,4130,5341,534,1905,413,1323,1736,169,2206,1080,64,1144,1062,2079,1022,64,1086,993,127,58,58,69,1147,813,334
IN,3,6259,2934,2411,25,5370,889,3316,67,1555,27,1081,24,25,2661,51,655,16,2943,1379,1330,2709,234,955,421,443,864,91,545,344,25,369,176,461,260,25,285,176,84,84,84,0,687,547,140
KS,5,2684,1317,1016,17,2350,334,1526,14,875,2,373,11,17,1265,13,261,1,1158,442,643,1085,73,346,137,188,325,21,371,262,13,275,96,307,205,13,218,89,64,57,57,7,373,329,44
KY,3,5230,2132,2177,10,4319,911,3282,65,1555,63,990,0,10,2555,63,727,2,1948,577,1187,1764,184,667,203,410,613,54,629,422,1,423,206,497,346,1,347,150,132,76,76,56,440,369,71
LA,9,7772,1375,2397,35,3807,3965,6322,51,1132,21,1271,18,35,2438,39,3884,12,1450,243,1126,1369,81,474,83,360,443,31,2893,335,17,352,2541,2743,263,17,280,2463,150,72,72,78,899,450,449
MA,19,17501,12652,4074,53,16779,722,6289,62,3119,26,2405,26,53,5577,52,712,10,11212,9533,1669,11202,10,3887,3267,616,3883,4,2055,1702,21,1723,332,1500,1147,21,1168,332,555,555,555,0,1181,1126,55
MD,16,9454,3399,2451,92,5942,3512,5727,1,2117,0,1236,1,92,3445,1,2282,0,3727,1282,1215,2497,1230,1300,424,388,812,488,1407,518,41,559,848,1259,448,41,489,770,148,70,70,78,617,513,104
ME,2,2393,975,1373,12,2360,33,1287,34,688,11,554,21,12,1254,32,33,2,1106,287,819,1106,0,376,99,277,376,0,233,220,11,231,2,222,209,11,220,2,11,11,11,0,116,116,0
MI,21,12592,5221,5015,34,10270,2322,7397,247,3405,95,2048,112,34,5487,207,1910,40,5195,1816,2967,4783,412,1703,628,937,1565,138,1370,830,13,843,527,1174,677,13,690,484,196,153,153,43,1017,835,182
MN,10,7744,3684,3060,10,6754,990,3540,134,1878,52,905,75,10,2793,127,747,7,4204,1806,2155,3961,243,1311,536,704,1240,71,1718,1336,10,1346,372,1004,690,10,700,304,714,646,646,68,309,243,66
MO,8,10237,4683,3157,53,7893,2344,4855,95,1896,51,1582,40,53,3531,91,1324,4,5382,2787,1575,4362,1020,1745,956,505,1461,284,1632,980,48,1028,604,906,561,48,609,297,726,419,419,307,899,714,185
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,2413,486,556,0,1042,1371,1794,42,374,14,252,28,0,626,42,1168,0,619,112,304,416,203,221,38,120,158,63,501,67,0,67,434,450,55,0,55,395,51,12,12,39,244,71,173
MT,1,1833,716,437,0,1153,680,1166,18,443,7,210,11,0,653,18,513,0,667,273,227,500,167,192,89,80,169,23,388,213,0,213,175,304,161,0,161,143,84,52,52,32,323,147,176
NC,12,13524,4641,4155,13,8809,4715,8480,119,3486,45,1962,13,13,5461,58,3019,61,5044,1155,2193,3348,1696,1633,388,696,1084,549,1621,702,0,702,919,1465,641,0,641,824,156,61,61,95,1413,1091,322
ND,1,688,474,161,0,635,53,485,1,344,0,101,1,0,445,1,40,0,203,130,60,190,13,70,42,22,64,6,86,78,0,78,8,81,75,0,75,6,5,3,3,2,160,144,16
NE,3,3789,1581,1376,0,2957,832,2215,117,1183,62,678,16,0,1861,78,354,39,1574,398,698,1096,478,514,133,230,363,151,501,333,0,333,168,396,288,0,288,108,105,45,45,60,249,213,36
NH,3,1496,769,555,5,1329,167,832,6,478,0,200,0,5,683,0,149,6,664,291,355,646,18,240,98,135,233,7,274,175,5,180,94,237,146,5,151,86,37,29,29,8,127,116,11
NJ,19,13025,8130,3280,19,11429,1596,6603,34,4240,19,1128,14,19,5387,33,1216,1,6422,3890,2152,6042,380,2247,1388,735,2123,124,1026,717,0,717,309,881,609,0,609,272,145,108,108,37,592,465,127
NM,2,3245,1380,1017,0,2397,848,2136,79,1059,30,412,13,0,1471,43,665,36,1109,321,605,926,183,348,95,194,289,59,1072,613,0,613,459,973,566,0,566,407,99,47,47,52,345,202,143
NV,3,8497,2503,1442,25,3970,4527,7493,376,1946,13,1028,25,25,2999,38,4494,338,1004,557,414,971,33,341,176,152,328,13,1725,583,16,599,1126,1603,464,16,480,1123,122,119,119,3,1229,691,538
NY,31,69566,53018,12302,162,65482,4084,30133,198,18481,100,7454,92,162,26097,192,4036,6,39433,34537,4848,39385,48,12170,10472,1682,12154,16,4897,2301,160,2461,2436,4324,1742,160,1902,2422,573,559,559,14,4961,4370,591
