State,Number of CoCs,"Overall Homeless, 2010","Sheltered ES Homeless, 2010","Sheltered TH Homeless, 2010","Sheltered SH Homeless, 2010","Sheltered Total Homeless, 2010","Unsheltered Homeless, 2010","Overall Homeless Individuals, 2010","Sheltered ES Homeless Individuals, 2010","Sheltered TH Homeless Individuals, 2010","Sheltered SH Homeless Individuals, 2010","Sheltered Total Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Overall Homeless People in Families, 2010","Sheltered ES Homeless People in Families, 2010","Sheltered TH Homeless People in Families, 2010","Sheltered Total Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Overall Homeless Family Households, 2010","Sheltered ES Homeless Family Households, 2010","Sheltered TH Homeless Family Households, 2010","Sheltered Total Homeless Family Households, 2010","Unsheltered Homeless Family Households, 2010","Sheltered SH Chronically Homeless, 2010","Overall Chronically Homeless Individuals, 2010","Sheltered ES Chronically Homeless Individuals, 2010","Sheltered SH Chronically Homeless Individuals, 2010","Sheltered Total Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Overall Homeless Veterans, 2010","Sheltered Total Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
FL,28,57551,10242,11478,97,21817,35734,35738,6074,7060,97,13231,22507,21813,4168,4418,8586,13227,8017,1487,1387,2874,5143,85,9232,3615,85,3700,5532,7794,2818,4976
GA,7,19836,4303,4443,0,8746,11090,14377,3146,2466,0,5612,8765,5459,1157,1977,3134,2325,1812,381,712,1093,719,0,3635,1495,0,1495,2140,2766,1372,1394
GU,1,1635,56,126,0,182,1453,534,12,25,0,37,497,1101,44,101,145,956,172,10,22,32,140,0,28,1,0,1,27,27,5,22
HI,2,5834,994,2516,25,3535,2299,2889,462,457,25,944,1945,2945,532,2059,2591,354,764,151,524,675,89,19,801,77,19,96,705,419,176,243
IA,3,3014,1062,1841,0,2903,111,1528,690,736,0,1426,102,1486,372,1105,1477,9,481,123,354,477,4,0,249,182,0,182,67,221,207,14
ID,2,2346,796,768,0,1564,782,1445,532,299,0,831,614,901,264,469,733,168,287,88,154,242,45,0,111,37,0,37,74,239,128,111
IL,21,14395,4981,7172,55,12208,2187,7568,3514,2198,55,5767,1801,6827,1467,4974,6441,386,2229,511,1585,2096,133,37,2130,1398,37,1435,695,1133,886,247
IN,3,6452,2707,2526,0,5233,1219,3588,1518,1218,0,2736,852,2864,1189,1308,2497,367,913,385,420,805,108,0,775,478,0,478,297,767,633,134
KS,5,2024,1179,649,0,1828,196,1318,803,363,0,1166,152,706,376,286,662,44,212,117,81,198,14,0,191,149,0,149,42,711,660,51
KY,3,6623,2740,2847,12,5599,1024,4125,1878,1371,12,3261,864,2498,862,1476,2338,160,805,268,488,756,49,4,695,400,4,404,291,619,534,85
LA,9,12482,1617,2479,0,4096,8386,10101,1016,1374,0,2390,7711,2381,601,1105,1706,675,763,187,367,554,209,0,4815,226,0,226,4589,2015,502,1513
MA,20,16646,11451,4109,35,15595,1051,6403,3153,2295,35,5483,920,10243,8298,1814,10112,131,3526,2763,716,3479,47,17,2007,1485,17,1502,505,1597,1449,148
MD,16,10845,3511,2947,57,6515,4330,5999,2171,1674,57,3902,2097,4846,1340,1273,2613,2233,1603,445,419,864,739,15,2179,1216,15,1231,948,910,646,264
ME,3,2379,854,1497,0,2351,28,1061,548,485,0,1033,28,1318,306,1012,1318,0,447,105,342,447,0,0,226,221,0,221,5,108,105,3
MI,21,13058,5186,5001,32,10219,2839,7365,3334,2005,32,5371,1994,5693,1852,2996,4848,845,1880,632,970,1602,278,26,1824,1283,26,1309,515,964,785,179
MN,11,7869,3360,3360,10,6730,1139,3605,2000,924,10,2934,671,4264,1360,2436,3796,468,1409,441,803,1244,165,10,1490,1139,10,1149,341,644,553,91
MO,8,8122,3363,2930,43,6336,1786,4427,1909,1338,43,3290,1137,3695,1454,1592,3046,649,1196,472,522,994,202,33,1287,944,33,977,310,759,629,130
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,2743,578,603,0,1181,1562,1924,302,359,0,661,1263,819,276,244,520,299,264,83,78,161,103,0,357,130,0,130,227,339,215,124
