State,Number of CoCs,"Overall Homeless, 2013","Overall Homeless - Under 18, 2013","Overall Homeless - Age 18 to 24, 2013","Overall Homeless - Over 24, 2013","Sheltered ES Homeless, 2013","Sheltered ES Homeless - Under 18, 2013","Sheltered ES Homeless - Age 18 to 24, 2013","Sheltered ES Homeless - Over 24, 2013","Sheltered TH Homeless, 2013","Sheltered TH Homeless - Under 18, 2013","Sheltered TH Homeless - Age 18 to 24, 2013","Sheltered TH Homeless - Over 24, 2013","Sheltered SH Homeless, 2013","Sheltered SH Homeless - Age 18 to 24, 2013","Sheltered SH Homeless - Over 24, 2013","Sheltered Total Homeless, 2013","Sheltered Total Homeless - Under 18, 2013","Sheltered Total Homeless - Age 18 to 24, 2013","Sheltered Total Homeless - Over 24, 2013","Unsheltered Homeless, 2013","Unsheltered Homeless - Under 18, 2013","Unsheltered Homeless - Age 18 to 24, 2013","Unsheltered Homeless - Over 24, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Overall Homeless Individuals - Age 18 to 24, 2013","Overall Homeless Individuals - Over 24, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals - Age 18 to 24, 2013","Sheltered ES Homeless Individuals - Over 24, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals - Age 18 to 24, 2013","Sheltered TH Homeless Individuals - Over 24, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered SH Homeless Individuals - Age 18 to 24, 2013","Sheltered SH Homeless Individuals - Over 24, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Sheltered Total Homeless Individuals - Age 18 to 24, 2013","Sheltered Total Homeless Individuals - Over 24, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals - Age 18 to 24, 2013","Unsheltered Homeless Individuals - Over 24, 2013","Overall Homeless People in Families, 2013","Overall Homeless People in Families - Under 18, 2013","Overall Homeless People in Families - Age 18 to 24, 2013","Overall Homeless People in Families - Over 24, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered ES Homeless People in Families - Under 18, 2013","Sheltered ES Homeless People in Families - Age 18 to 24, 2013","Sheltered ES Homeless People in Families - Over 24, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered TH Homeless People in Families - Under 18, 2013","Sheltered TH Homeless People in Families - Age 18 to 24, 2013","Sheltered TH Homeless People in Families - Over 24, 2013","Sheltered Total Homeless People in Families, 2013","Sheltered Total Homeless People in Families - Under 18, 2013","Sheltered Total Homeless People in Families - Age 18 to 24, 2013","Sheltered Total Homeless People in Families - Over 24, 2013","Unsheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families - Under 18, 2013","Unsheltered Homeless People in Families - Age 18 to 24, 2013","Unsheltered Homeless People in Families - Over 24, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Overall Homeless Veterans - Female, 2013","Sheltered Total Homeless Veterans, 2013","Sheltered Total Homeless Veterans - Female, 2013","Unsheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans - Female, 2013"
OR,7,13822,3123,1368,9331,2800,545,263,1992,3619,1228,356,2035,13,1,12,6432,1773,620,4039,7390,1350,748,5292,8994,269,1016,7709,1983,73,207,1703,1606,40,190,1376,13,1,12,3602,113,398,3091,5392,156,618,4618,4828,2854,352,1622,817,472,56,289,2013,1188,166,659,2830,1660,222,948,1998,1194,130,674,1524,276,629,905,619,3043,712,11,723,2320,2444,577,11,588,1856,599,135,135,464,1494,131,709,65,785,66
PA,18,15086,4467,1590,9029,6943,1755,717,4471,6555,2617,766,3172,229,5,224,13727,4372,1488,7867,1359,95,102,1162,7973,36,816,7121,4207,32,437,3738,2331,4,287,2040,229,5,224,6767,36,729,6002,1206,0,87,1119,7113,4431,774,1908,2736,1723,280,733,4224,2613,479,1132,6960,4336,759,1865,153,95,15,43,2409,929,1432,2361,48,1681,828,182,1010,671,1536,707,182,889,647,145,121,121,24,1462,147,1290,130,172,17
PR,2,4128,365,203,3560,339,22,18,299,995,188,92,715,68,0,68,1402,210,110,1082,2726,155,93,2478,3470,4,152,3314,300,0,14,286,689,0,58,631,68,0,68,1057,0,72,985,2413,4,80,2329,658,361,51,246,39,22,4,13,306,188,34,84,345,210,38,97,313,151,13,149,185,16,91,107,78,2130,195,66,261,1869,1629,190,66,256,1373,501,5,5,496,82,2,40,1,42,1
RI,1,1384,334,120,930,850,186,71,593,400,144,37,219,17,1,16,1267,330,109,828,117,4,11,102,862,4,71,787,564,2,46,516,172,2,13,157,17,1,16,753,4,60,689,109,0,11,98,522,330,49,143,286,184,25,77,228,142,24,62,514,326,49,139,8,4,0,4,177,96,79,175,2,251,182,16,198,53,243,174,16,190,53,8,8,8,0,97,2,95,2,2,0
SC,4,6544,1139,436,4969,1677,238,118,1321,1722,446,120,1156,12,1,11,3411,684,239,2488,3133,455,197,2481,4736,4,315,4417,1300,0,85,1215,1027,2,75,950,12,1,11,2339,2,161,2176,2397,2,154,2241,1808,1135,121,552,377,238,33,106,695,444,45,206,1072,682,78,312,736,453,43,240,640,136,229,365,275,483,131,12,143,340,453,113,12,125,328,30,18,18,12,636,52,345,28,291,24
SD,1,1094,400,95,599,433,139,30,264,322,125,46,151,0,0,0,755,264,76,415,339,136,19,184,557,20,56,481,255,17,19,219,139,3,23,113,0,0,0,394,20,42,332,163,0,14,149,537,380,39,118,178,122,11,45,183,122,23,38,361,244,34,83,176,136,5,35,154,56,59,115,39,217,71,0,71,146,117,42,0,42,75,100,29,29,71,125,6,106,6,19,0
TN,10,9528,1483,654,7391,3421,410,224,2787,2881,624,234,2023,19,0,19,6321,1034,458,4829,3207,449,196,2562,6909,78,550,6281,2707,5,192,2510,1906,22,205,1679,19,0,19,4632,27,397,4208,2277,51,153,2073,2619,1405,104,1110,714,405,32,277,975,602,29,344,1689,1007,61,621,930,398,43,489,880,249,332,581,299,2219,1144,18,1162,1057,1929,1061,18,1079,850,290,83,83,207,991,42,728,33,263,9
TX,12,29615,5478,2056,22081,9935,2104,714,7117,7456,2575,579,4302,134,5,129,17525,4679,1298,11548,12090,799,758,10533,20758,718,1504,18536,6259,154,503,5602,3288,105,298,2885,134,5,129,9681,259,806,8616,11077,459,698,9920,8857,4760,552,3545,3676,1950,211,1515,4168,2470,281,1417,7844,4420,492,2932,1013,340,60,613,2826,1140,1392,2532,294,5535,2057,111,2168,3367,4770,1566,111,1677,3093,765,491,491,274,3878,287,2007,200,1871,87
UT,3,3277,858,219,2200,1773,383,107,1283,1037,445,74,518,49,1,48,2859,828,182,1849,418,30,37,351,1959,13,127,1819,1172,9,68,1095,372,3,29,340,49,1,48,1593,12,98,1483,366,1,29,336,1318,845,92,381,601,374,39,188,665,442,45,178,1266,816,84,366,52,29,8,15,406,189,202,391,15,454,300,49,349,105,347,219,49,268,79,107,81,81,26,327,17,290,17,37,0
VA,16,7625,1939,544,5142,4285,916,319,3050,2260,976,164,1120,58,0,58,6603,1892,483,4228,1022,47,61,914,4532,6,310,4216,2823,3,212,2608,706,2,45,659,58,0,58,3587,5,257,3325,945,1,53,891,3093,1933,234,926,1462,913,107,442,1554,974,119,461,3016,1887,226,903,77,46,8,23,984,469,490,959,25,1356,830,45,875,481,1262,752,45,797,465,94,78,78,16,719,66,625,63,94,3
VI,1,482,24,24,434,68,14,11,43,51,10,6,35,0,0,0,119,24,17,78,363,0,7,356,444,0,19,425,46,0,8,38,35,0,4,31,0,0,0,81,0,12,69,363,0,7,356,38,24,5,9,22,14,3,5,16,10,2,4,38,24,5,9,0,0,0,0,11,7,4,11,0,87,0,0,0,87,87,0,0,0,87,0,0,0,0,33,3,2,1,31,2
VT,2,1454,430,176,848,959,334,111,514,307,78,45,184,4,0,4,1270,412,156,702,184,18,20,146,701,7,79,615,379,6,42,331,164,1,19,144,4,0,4,547,7,61,479,154,0,18,136,753,423,97,233,580,328,69,183,143,77,26,40,723,405,95,223,30,18,2,10,262,203,50,253,9,217,140,0,140,77,183,110,0,110,73,34,30,30,4,128,7,111,6,17,1
WA,7,17760,4039,1574,12147,5969,1219,446,4304,6684,2539,778,3367,54,0,54,12707,3758,1224,7725,5053,281,350,4422,10617,145,1011,9461,4032,60,297,3675,1946,55,395,1496,54,0,54,6032,115,692,5225,4585,30,319,4236,7143,3894,563,2686,1937,1159,149,629,4738,2484,383,1871,6675,3643,532,2500,468,251,31,186,2217,614,1467,2081,136,2196,1031,45,1076,1120,1927,910,45,955,972,269,121,121,148,1318,101,1058,86,260,15
WI,4,6104,1980,669,3455,3036,820,328,1888,2638,1115,284,1239,62,3,59,5736,1935,615,3186,368,45,54,269,3005,22,360,2623,1760,15,211,1534,881,1,99,781,62,3,59,2703,16,313,2374,302,6,47,249,3099,1958,309,832,1276,805,117,354,1757,1114,185,458,3033,1919,302,812,66,39,7,20,1016,420,574,994,22,521,359,24,383,138,449,289,24,313,136,72,70,70,2,552,42,528,40,24,2
WV,4,2240,414,290,1536,1100,205,75,820,501,135,112,254,11,1,10,1612,340,188,1084,628,74,102,452,1544,17,238,1289,750,7,51,692,277,4,99,174,11,1,10,1038,11,151,876,506,6,87,413,696,397,52,247,350,198,24,128,224,131,13,80,574,329,37,208,122,68,15,39,228,117,75,192,36,432,242,8,250,182,390,203,8,211,179,42,39,39,3,329,15,292,14,37,1
WY,1,953,223,98,632,292,31,12,249,209,74,9,126,0,0,0,501,105,21,375,452,118,77,257,677,68,75,534,245,0,8,237,61,0,2,59,0,0,0,306,0,10,296,371,68,65,238,276,155,23,98,47,31,4,12,148,74,7,67,195,105,11,79,81,50,12,19,84,11,44,55,29,244,116,0,116,128,221,116,0,116,105,23,0,0,23,137,2,110,2,27,0
Total,415,590364,138146,59798,392420,236658,65808,22027,148823,156015,51933,16791,87291,2025,61,1964,394698,117741,38879,238078,195666,20405,20919,154342,368174,7634,38986,321554,129278,1887,11893,115498,71824,1292,8987,61545,2025,61,1964,203127,3179,20941,179007,165047,4455,18045,142547,222190,130512,20812,70866,107380,63921,10134,33325,84191,50641,7804,25746,191571,114562,17938,59071,30619,15950,2874,11795,70957,33586,27269,60855,10102,102828,36130,1438,37568,65260,86289,27980,1438,29418,56871,16539,8150,8150,8389,55619,4339,34909,2932,20710,1407
