coc_number,coc_name,sheltered_total_homeless_individuals,unsheltered_homeless_individuals,homeless_individuals,sheltered_total_homeless_people_in_families,unsheltered_homeless_people_in_families,homeless_people_in_families,sheltered_homeless,unsheltered_homeless,sheltered_total_homeless_veterans,unsheltered_homeless_veterans,homeless_veterans,sheltered_total_homeless_unaccompanied_youth_under_25,unsheltered_homeless_unaccompanied_youth_under_25,total_homeless_unaccompanied_youth_under_25,total_homeless,es_sh_th_avg_days,total_persons_returns_in_6_mths,total_persons_returns_in_12_mths_should_include_the_6_month_cohort,total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,percent_with_successful_es_th_sh_ph_rrh_exit,percent_with_successful_ph_retention_or_exit,amount,chronically_homeless
AK-500,Anchorage CoC,720,94,814,280,0,280,1000,94,58,4,62,94,3,97,1094,73,99,137,180,20%,95%,3112658,177
AK-501,Alaska Balance of State CoC,453,167,620,254,48,302,707,215,52,18,70,56,10,66,922,64,78,121,170,31%,94%,812671,180
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",501,219,720,181,0,181,682,219,116,17,133,21,5,26,901,70,169,220,275,19%,97%,9482514,119
AL-501,Mobile City & County/Baldwin County CoC,183,216,399,135,17,152,318,233,42,10,52,8,8,16,551,57,35,55,91,26%,97%,3811801,59
AL-502,Florence/Northwest Alabama CoC,144,22,166,90,0,90,234,22,0,8,8,16,1,17,256,0,0,0,0,85%,43%,436218,136
AL-503,Huntsville/North Alabama CoC,230,106,336,78,10,88,308,116,21,13,34,21,3,24,424,80,14,24,38,42%,96%,664538,111
AL-504,Montgomery City & County CoC,203,69,272,97,0,97,300,69,48,6,54,19,2,21,369,112,34,57,83,23%,83%,1243676,63
AL-505,Gadsden/Northeast Alabama CoC,59,60,119,27,0,27,86,60,5,3,8,11,2,13,146,NA,NA,NA,NA,NA,NA,203299,35
AL-506,Tuscaloosa City & County CoC,34,1,35,22,0,22,56,1,10,0,10,0,0,0,57,477,36,37,37,14%,NA,1185251,4
AL-507,Alabama Balance of State CoC,339,184,523,101,106,207,440,290,25,15,40,17,24,41,730,414,1,1,8,75%,98%,3142641,13
AR-500,Little Rock/Central Arkansas CoC,432,518,950,99,32,131,531,550,70,54,124,36,38,74,1081,72,55,85,118,48%,96%,356625,232
AR-501,Fayetteville/Northwest Arkansas CoC,197,151,348,126,0,126,323,151,40,20,60,45,6,51,474,249,27,43,49,85%,92%,377488,42
AR-503,Arkansas  Balance of State  CoC,224,442,666,85,17,102,309,459,14,17,31,19,73,92,768,82,30,46,61,33%,87%,4028471,107
AR-504,Delta Hills CoC,32,19,51,0,6,6,32,25,11,0,11,1,1,2,57,NA,NA,NA,NA,NA,NA,8584348,18
AR-505,Southeast Arkansas CoC,47,6,53,48,0,48,95,6,3,0,3,9,0,9,101,NA,NA,NA,NA,NA,NA,28016529,0
AR-508,Fort Smith CoC,149,63,212,16,3,19,165,66,12,10,22,12,0,12,231,NA,NA,NA,NA,NA,NA,26061937,67
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,44537520,.
AZ-500,Arizona Balance of State CoC,664,974,1638,438,111,549,1102,1085,107,170,277,57,63,120,2187,58,154,241,363,44%,96%,37648221,537
AZ-501,Tucson/Pima County CoC,720,359,1079,297,4,301,1017,363,158,45,203,67,36,103,1380,98,343,524,717,48%,90%,20915190,263
AZ-502,"Phoenix, Mesa/Maricopa County CoC",1970,2572,4542,1710,46,1756,3680,2618,275,138,413,273,142,415,6298,101,658,1052,1625,40%,93%,3721504,974
CA-500,San Jose/Santa Clara City & County CoC,1115,5152,6267,691,296,987,1806,5448,206,452,658,81,2436,2517,7254,141,160,260,385,30%,98%,15857604,2139
CA-501,San Francisco CoC,1878,4333,6211,626,20,646,2504,4353,300,356,656,168,1124,1292,6857,404,62,88,120,63%,98%,1840661,1757
CA-502,"Oakland, Berkeley/Alameda County CoC",964,3837,4801,669,26,695,1633,3863,148,378,526,197,738,935,5496,208,153,237,311,52%,98%,4496522,1742
CA-503,Sacramento City & County CoC,1069,2035,3104,500,17,517,1569,2052,165,327,492,121,118,239,3621,130,255,416,647,41%,98%,2629841,1192
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",760,1897,2657,307,32,339,1067,1929,63,144,207,62,443,505,2996,142,110,168,241,36%,93%,1619702,747
CA-505,Richmond/Contra Costa County CoC,523,1432,1955,174,105,279,697,1537,56,46,102,38,95,133,2234,114,104,169,257,52%,97%,3399756,555
CA-506,"Salinas/Monterey, San Benito Counties CoC",385,2298,2683,400,216,616,785,2514,111,56,167,34,589,623,3299,184,27,37,56,40%,97%,4490004,942
CA-507,Marin County CoC,242,678,920,145,30,175,387,708,22,67,89,18,115,133,1095,211,21,41,58,69%,96%,12756571,399
CA-508,Watsonville/Santa Cruz City & County CoC,281,1630,1911,240,169,409,521,1799,28,217,245,41,573,614,2320,173,32,63,81,28%,95%,2354941,634
CA-509,Mendocino County CoC,106,723,829,51,0,51,157,723,6,6,12,2,13,15,880,63,11,16,19,20%,94%,10733261,96
CA-510,"Turlock, Modesto/Stanislaus County CoC",507,573,1080,243,33,276,750,606,45,42,87,33,46,79,1356,57,108,158,236,29%,95%,1291551,241
CA-511,Stockton/San Joaquin County CoC,505,549,1054,613,18,631,1118,567,64,32,96,29,29,58,1685,50,149,225,320,11%,94%,354508,262
CA-512,Daly/San Mateo County CoC,249,562,811,352,75,427,601,637,43,57,100,19,11,30,1238,97,87,142,205,44%,99%,739826,238
CA-513,"Visalia/Kings, Tulare Counties CoC",185,638,823,130,14,144,315,652,6,40,46,23,49,72,967,80,156,212,282,42%,95%,1464224,288
CA-514,Fresno City & County/Madera County CoC,214,1672,1886,249,9,258,463,1681,86,125,211,30,67,97,2144,64,50,88,138,56%,92%,552718,524
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",331,435,766,161,23,184,492,458,31,24,55,15,41,56,950,164,23,29,35,44%,96%,749892,327
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",339,616,955,120,74,194,459,690,56,68,124,27,24,51,1149,1096,1,1,1,50%,100%,481697,431
CA-517,Napa City & County CoC,125,151,276,43,3,46,168,154,13,10,23,9,5,14,322,159,50,83,113,35%,98%,861315,158
CA-518,Vallejo/Solano County CoC,166,886,1052,46,31,77,212,917,19,105,124,39,179,218,1129,249,20,33,40,54%,95%,6888,461
CA-519,"Chico, Paradise/Butte County CoC",258,688,946,122,57,179,380,745,29,80,109,26,42,68,1125,117,73,88,198,26%,94%,15455,506
CA-520,Merced City & County CoC,155,301,456,47,11,58,202,312,3,10,13,13,21,34,514,67,10,13,21,16%,100%,20017,148
CA-521,"Davis, Woodland/Yolo County CoC",112,204,316,127,5,132,239,209,4,18,22,16,9,25,448,132,11,19,27,58%,98%,406899,157
CA-522,Humboldt County CoC,204,401,605,65,33,98,269,434,66,40,106,26,44,70,703,176,22,36,53,51%,85%,5902,363
CA-523,"Colusa, Glenn, Trinity Counties CoC",10,152,162,85,21,106,95,173,2,16,18,0,6,6,268,362,0,0,0,73%,NA,3134,94
CA-524,Yuba City & County/Sutter County CoC,72,385,457,220,88,308,292,473,1,27,28,2,20,22,765,90,0,1,12,54%,100%,,172
CA-525,El Dorado County CoC,119,358,477,30,138,168,149,496,0,82,82,19,22,41,645,122,17,17,21,38%,100%,123707061,211
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45,220,265,89,44,133,134,264,9,10,19,3,19,22,398,102,9,18,35,77%,97%,21394691,72
CA-527,Tehama County CoC,51,56,107,18,0,18,69,56,8,1,9,3,1,4,125,40,1,3,5,37%,NA,24073151,55
CA-529,Lake County CoC,13,534,547,11,57,68,24,591,1,11,12,1,32,33,615,NA,NA,NA,NA,NA,NA,1995819,82
CA-530,"Alpine, Inyo, Mono Counties CoC",1,144,145,0,12,12,1,156,0,6,6,0,10,10,157,34,0,0,0,41%,NA,5921458,65
CA-600,Los Angeles City & County CoC,6175,35904,42079,6210,1666,7876,12385,37570,871,2667,3538,899,1438,2337,49955,342,655,1042,1660,30%,97%,8467853,13275
CA-601,San Diego City and County CoC,2387,4676,7063,1199,314,1513,3586,4990,653,659,1312,186,690,876,8576,139,381,566,843,44%,94%,3561687,2171
CA-602,"Santa Ana, Anaheim/Orange County CoC",1262,2518,3780,1109,66,1175,2371,2584,62,357,419,50,75,125,4955,93,130,219,299,39%,97%,10106803,1066
CA-603,Santa Maria/Santa Barbara County CoC,596,739,1335,217,154,371,813,893,55,49,104,44,98,142,1706,117,56,102,154,38%,96%,10141456,307
CA-604,Bakersfield/Kern County CoC,353,362,715,162,8,170,515,370,62,18,80,29,27,56,885,398,89,128,185,52%,97%,2290478,133
CA-606,Long Beach CoC,527,1151,1678,138,57,195,665,1208,195,110,305,18,49,67,1873,125,31,37,75,55%,90%,2449400,587
CA-607,Pasadena CoC,134,439,573,81,23,104,215,462,8,23,31,8,31,39,677,113,2,9,13,28%,96%,183793,164
CA-608,Riverside City & County CoC,411,1676,2087,220,9,229,631,1685,37,99,136,65,175,240,2316,57,228,338,490,39%,95%,979997,474
CA-609,San Bernardino City & County CoC,253,1340,1593,422,103,525,675,1443,45,125,170,25,117,142,2118,57,240,389,567,58%,97%,3082384,423
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",300,809,1109,178,21,199,478,830,23,39,62,9,32,41,1308,130,9,16,24,52%,96%,27195633,280
CA-612,Glendale CoC,29,139,168,75,17,92,104,156,0,12,12,5,4,9,260,168,0,4,6,41%,98%,2407701,49
CA-613,Imperial County CoC,40,1271,1311,120,62,182,160,1333,3,127,130,20,76,96,1493,76,56,82,103,85%,NA,11467362,44
CA-614,San Luis Obispo County CoC,184,809,993,89,13,102,273,822,17,76,93,23,187,210,1095,84,9,14,22,31%,91%,37553278,301
CO-500,Colorado Balance of State CoC,946,1600,2546,535,908,1443,1481,2508,124,191,315,81,165,246,3989,191,67,144,179,45%,98%,22720536,797
CO-503,Metropolitan Denver CoC,2700,1215,3915,1309,93,1402,4009,1308,422,144,566,141,113,254,5317,202,207,305,390,34%,97%,8249505,1596
CO-504,Colorado Springs/El Paso County CoC,656,490,1146,382,23,405,1038,513,111,81,192,52,41,93,1551,84,120,201,276,18%,91%,,345
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",350,82,432,309,0,309,659,82,40,1,41,31,22,53,741,165,61,113,205,57%,97%,6347400,52
CT-505,Connecticut Balance of State CoC,1349,499,1848,1387,0,1387,2736,499,137,12,149,87,47,134,3235,121,373,610,868,48%,98%,4129427,289
DC-500,District of Columbia CoC,3170,600,3770,3134,0,3134,6304,600,246,60,306,284,34,318,6904,256,425,735,1081,67%,99%,1974655,1781
DE-500,Delaware Statewide CoC,615,93,708,374,0,374,989,93,67,3,70,45,8,53,1082,102,147,243,329,46%,98%,1420440,189
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",519,435,954,221,17,238,740,452,59,49,108,44,13,57,1192,63,125,211,309,25%,87%,676587,250
FL-501,Tampa/Hillsborough County CoC,580,613,1193,575,27,602,1155,640,119,52,171,30,26,56,1795,94,146,227,374,50%,94%,1451760,262
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",1290,963,2253,357,2,359,1647,965,233,48,281,98,45,143,2612,77,544,732,924,33%,93%,8069046,434
FL-503,"Lakeland, Winterhaven/Polk County CoC",220,134,354,198,0,198,418,134,16,10,26,21,7,28,552,98,38,90,120,29%,95%,703177,84
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",99,385,484,178,21,199,277,406,15,29,44,5,15,20,683,144,118,167,227,77%,98%,1710063,90
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",22,326,348,61,86,147,83,412,2,28,30,0,14,14,495,77,20,24,34,60%,82%,4659124,119
FL-506,Tallahassee/Leon County CoC,548,92,640,262,7,269,810,99,89,19,108,47,9,56,909,129,163,236,327,33%,94%,815404,151
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",1002,338,1340,691,22,713,1693,360,156,25,181,104,16,120,2053,93,339,505,670,43%,95%,133307,272
FL-508,"Gainesville/Alachua, Putnam Counties CoC",240,403,643,83,30,113,323,433,66,48,114,41,7,48,756,70,93,143,212,45%,97%,742388,272
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",60,794,854,453,235,688,513,1029,2,59,61,22,16,38,1542,89,41,63,92,88%,95%,292129,56
FL-510,"Jacksonville-Duval, Clay Counties CoC",981,429,1410,384,0,384,1365,429,92,29,121,77,61,138,1794,116,43,84,122,38%,93%,53680,327
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",329,138,467,158,7,165,487,145,84,19,103,18,11,29,632,171,79,125,184,30%,78%,184256,78
FL-512,St. Johns County CoC,55,164,219,123,0,123,178,164,6,24,30,11,14,25,342,76,20,27,47,36%,100%,360919,65
FL-513,"Palm Bay, Melbourne/Brevard County CoC",283,238,521,198,15,213,481,253,130,39,169,74,14,88,734,196,82,111,180,67%,97%,911344,116
FL-514,Ocala/Marion County CoC,188,255,443,113,16,129,301,271,69,0,69,26,22,48,572,10,2,2,2,29%,52%,428405,124
FL-515,"Panama City/Bay, Jackson Counties CoC",75,238,313,34,34,68,109,272,9,25,34,17,17,34,381,35,23,26,38,21%,100%,31480996,98
FL-517,"Hendry, Hardee, Highlands Counties CoC",16,276,292,53,108,161,69,384,0,18,18,0,65,65,453,237,0,0,0,57%,87%,10201816,259
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",61,326,387,29,77,106,90,403,24,17,41,10,33,43,493,71,52,59,75,52%,93%,258810,38
FL-519,Pasco County CoC,104,725,829,149,1690,1839,253,2415,39,175,214,11,317,328,2668,0,35,38,38,69%,98%,1835581,826
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",183,243,426,266,19,285,449,262,27,18,45,15,14,29,711,119,32,47,80,53%,88%,491912,36
FL-600,Miami-Dade County CoC,1395,1030,2425,1091,0,1091,2486,1030,111,9,120,130,26,156,3516,136,741,1034,1409,56%,99%,5795007,384
FL-601,Ft Lauderdale/Broward County CoC,1013,843,1856,436,26,462,1449,869,116,73,189,101,40,141,2318,102,543,805,1143,48%,98%,297734,439
FL-602,Punta Gorda/Charlotte County CoC,54,76,130,24,10,34,78,86,39,1,40,0,5,5,164,67,18,35,59,85%,98%,7533177,45
FL-603,"Ft Myers, Cape Coral/Lee County CoC",250,173,423,274,31,305,524,204,7,11,18,22,9,31,728,54,41,57,74,39%,89%,19242078,132
FL-604,Monroe County CoC,547,177,724,214,35,249,761,212,22,45,67,16,5,21,973,187,80,106,117,31%,94%,2497367,62
FL-605,West Palm Beach/Palm Beach County CoC,196,768,964,262,83,345,458,851,47,83,130,46,19,65,1309,84,148,203,306,68%,95%,761981,164
FL-606,Naples/Collier County CoC,376,175,551,64,38,102,440,213,3,8,11,34,32,66,653,88,3,3,3,89%,100%,615226,119
GA-500,Atlanta CoC,1804,732,2536,532,8,540,2336,740,303,96,399,137,28,165,3076,95,319,467,720,32%,90%,1524407,335
GA-501,Georgia Balance of State CoC,698,1704,2402,1159,169,1328,1857,1873,50,117,167,73,105,178,3730,88,125,200,312,63%,93%,2301469,266
GA-502,Fulton County CoC,49,66,115,85,22,107,134,88,12,0,12,24,6,30,222,204,2,2,3,63%,95%,3450386,86
GA-503,Athens-Clarke County CoC,82,46,128,84,0,84,166,46,10,4,14,3,2,5,212,83,12,18,32,42%,88%,5144877,37
GA-504,Augusta-Richmond County CoC,191,47,238,31,0,31,222,47,24,5,29,9,2,11,269,78,82,96,140,22%,97%,1136986,18
GA-505,Columbus-Muscogee/Russell County CoC,154,80,234,42,0,42,196,80,3,10,13,15,2,17,276,108,21,28,35,52%,83%,2613196,28
GA-506,Marietta/Cobb County CoC,141,104,245,125,14,139,266,118,11,14,25,9,2,11,384,56,29,39,84,47%,92%,9483399,41
GA-507,Savannah/Chatham County CoC,411,464,875,134,0,134,545,464,16,22,38,27,40,67,1009,71,70,99,122,30%,98%,763143,223
GA-508,DeKalb County CoC,27,143,170,151,0,151,178,143,0,8,8,0,10,10,321,99,14,23,38,74%,97%,5206206,46
GU-500,Guam CoC,22,187,209,105,540,645,127,727,4,10,14,5,2,7,854,66,4,14,28,36%,92%,3537981,66
HI-500,Hawaii Balance of State CoC,226,1000,1226,479,330,809,705,1330,28,97,125,11,35,46,2035,142,58,119,219,57%,94%,1073322,597
HI-501,Honolulu City and County CoC,989,1916,2905,1361,229,1590,2350,2145,212,195,407,39,104,143,4495,211,131,262,453,59%,94%,3253348,1117
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",166,6,172,92,0,92,258,6,24,1,25,7,0,7,264,113,5,5,5,74%,100%,948095,27
IA-501,Iowa Balance of State CoC,820,107,927,773,21,794,1593,128,73,6,79,119,13,132,1721,87,196,361,551,52%,94%,1524907,133
IA-502,Des Moines/Polk County CoC,505,107,612,152,0,152,657,107,80,12,92,61,9,70,764,69,170,249,355,28%,93%,2321293,110
ID-500,Boise/Ada County CoC,492,121,613,143,0,143,635,121,98,15,113,23,10,33,756,88,5,9,18,19%,99%,724099,182
ID-501,Idaho Balance of State CoC,280,404,684,374,198,572,654,602,48,54,102,32,50,82,1256,75,126,184,246,67%,87%,1841444,142
IL-500,McHenry County CoC,119,5,124,55,0,55,174,5,39,0,39,14,0,14,179,196,11,14,18,51%,90%,4148711,23
IL-501,"Rockford/Winnebago, Boone Counties CoC",126,43,169,87,0,87,213,43,16,5,21,13,6,19,256,66,30,65,98,27%,93%,1802286,18
IL-502,"Waukegan, North Chicago/Lake County CoC",137,24,161,116,0,116,253,24,13,0,13,12,0,12,277,65,67,106,133,46%,98%,3374043,33
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",112,9,121,67,0,67,179,9,6,1,7,11,0,11,188,80,11,18,44,36%,84%,73193688,9
IL-504,Madison County CoC,44,44,88,51,7,58,95,51,3,2,5,4,1,5,146,47,5,6,9,79%,91%,13107890,22
IL-506,"Joliet, Bolingbrook/Will County CoC",138,43,181,160,0,160,298,43,15,1,16,12,4,16,341,56,30,62,83,20%,97%,1056875,23
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",216,32,248,150,2,152,366,34,31,6,37,13,0,13,400,66,9,37,74,52%,98%,402569,54
IL-508,"East St. Louis, Belleville/St. Clair County CoC",61,63,124,99,27,126,160,90,24,5,29,3,8,11,250,150,1,7,19,69%,93%,4880469,26
IL-509,Dekalb City & County CoC,42,3,45,55,0,55,97,3,5,0,5,12,0,12,100,NA,NA,NA,NA,NA,NA,1047588,7
IL-510,Chicago CoC,2203,1350,3553,1890,7,1897,4093,1357,296,198,494,269,41,310,5450,165,616,898,1303,24%,98%,869672,971
IL-511,Cook County CoC,470,89,559,311,3,314,781,92,47,3,50,59,3,62,873,102,121,173,204,33%,98%,1821498,134
IL-512,Bloomington/Central Illinois CoC,225,23,248,137,2,139,362,25,9,1,10,67,2,69,387,100,19,36,49,50%,95%,740232,43
IL-513,Springfield/Sangamon County CoC,178,17,195,74,2,76,252,19,18,0,18,12,0,12,271,63,96,120,144,22%,82%,665749,32
IL-514,DuPage County CoC,156,15,171,124,0,124,280,15,12,0,12,44,0,44,295,119,69,85,103,34%,99%,1037157,31
IL-515,South Central Illinois CoC,25,19,44,45,3,48,70,22,1,2,3,1,1,2,92,21,9,14,16,61%,98%,17126143,5
IL-516,Decatur/Macon County CoC,80,18,98,60,3,63,140,21,4,0,4,4,2,6,161,142,0,0,0,41%,94%,5575184,16
IL-517,"Aurora, Elgin/Kane County CoC",293,25,318,112,0,112,405,25,22,0,22,22,0,22,430,91,60,73,100,27%,96%,2671577,145
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",122,16,138,60,0,60,182,16,8,0,8,15,1,16,198,129,3,7,14,71%,91%,1871426,0
IL-519,West Central Illinois CoC,23,0,23,44,0,44,67,0,0,0,0,6,0,6,67,44,24,37,45,50%,94%,683573,2
IL-520,Southern Illinois CoC,106,38,144,128,10,138,234,48,5,6,11,16,6,22,282,74,64,88,106,40%,95%,2651388,31
