coc_number,coc_name,sheltered_total_homeless_individuals,unsheltered_homeless_individuals,homeless_individuals,sheltered_total_homeless_people_in_families,unsheltered_homeless_people_in_families,homeless_people_in_families,sheltered_homeless,unsheltered_homeless,sheltered_total_homeless_veterans,unsheltered_homeless_veterans,homeless_veterans,sheltered_total_homeless_unaccompanied_youth_under_25,unsheltered_homeless_unaccompanied_youth_under_25,total_homeless_unaccompanied_youth_under_25,total_homeless,es_sh_th_avg_days,total_persons_returns_in_6_mths,total_persons_returns_in_12_mths_should_include_the_6_month_cohort,total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,percent_with_successful_es_th_sh_ph_rrh_exit,percent_with_successful_ph_retention_or_exit,amount,chronically_homeless
NY-602,"Newburgh, Middletown/Orange County CoC",187,42,229,251,0,251,438,42,11,6,17,29,2,31,480,86,51,91,182,51%,96%,3955340,101
NY-603,"Nassau, Suffolk Counties CoC",940,52,992,2876,0,2876,3816,52,134,1,135,102,0,102,3868,166,150,222,344,53%,94%,28162915,117
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",567,44,611,1216,0,1216,1783,44,42,3,45,69,4,73,1827,223,96,161,255,25%,99%,12763762,164
NY-606,Rockland County CoC,95,50,145,35,0,35,130,50,3,0,3,10,0,10,180,59,5,6,8,23%,93%,1919042,37
NY-607,Sullivan County CoC,117,7,124,63,2,65,180,9,3,0,3,11,5,16,189,0,0,0,0,NA,85%,10328847,0
NY-608,Kingston/Ulster County CoC,134,26,160,298,6,304,432,32,3,2,5,27,2,29,464,95,80,145,211,64%,96%,4835866,32
OH-500,Cincinnati/Hamilton County CoC,784,47,831,283,0,283,1067,47,158,3,161,95,2,97,1114,57,349,605,940,51%,97%,19116526,70
OH-501,Toledo/Lucas County CoC,383,20,403,257,2,259,640,22,24,0,24,24,0,24,662,71,85,146,225,54%,98%,2965295,51
OH-502,Cleveland/Cuyahoga County CoC,1299,78,1377,431,0,431,1730,78,158,1,159,93,11,104,1808,105,811,1249,1720,39%,99%,267124,172
OH-503,Columbus/Franklin County CoC,959,282,1241,560,6,566,1519,288,86,14,100,96,29,125,1807,60,599,1203,1742,48%,93%,2808449,137
OH-504,Youngstown/Mahoning County CoC,72,23,95,85,0,85,157,23,10,2,12,12,0,12,180,147,37,60,92,57%,97%,3796648,25
OH-505,"Dayton, Kettering/Montgomery County CoC",515,51,566,114,0,114,629,51,51,1,52,84,2,86,680,55,137,255,410,26%,95%,607607,30
OH-506,"Akron, Barberton/Summit County CoC",329,133,462,125,0,125,454,133,56,8,64,38,6,44,587,58,144,195,263,31%,96%,431668,46
